"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"VERinf DETdef NOMcom";1416;22;47;64;66;47;70;59;29;35;57;66;31;17;34;29;52;54;44;33;34;40;50;55;68;40;48;44;37;32;34;29;24;25
"PRE NOMcom PRE";1392;16;30;39;29;15;28;29;47;47;42;66;43;28;68;48;66;51;46;33;31;43;47;60;48;62;58;40;62;39;50;24;31;26
"PROper VERcjg CONsub";1386;8;21;47;31;17;34;29;56;37;45;51;47;24;60;28;42;63;61;45;52;49;48;45;46;63;47;57;51;44;39;36;27;36
"NOMcom PRE PROper";1364;16;42;58;32;40;43;50;59;70;54;40;59;21;69;31;47;36;59;38;36;39;51;50;23;43;47;35;37;45;31;25;17;21
"PROper VERcjg DETdef";1359;22;35;69;59;42;51;44;39;23;31;50;37;25;66;27;63;28;45;35;30;42;41;42;41;72;38;56;44;53;42;20;22;25
"PRE NOMcom PROper";1354;7;26;38;47;29;42;21;60;39;42;30;55;24;70;42;53;41;59;27;34;49;34;57;50;54;64;50;52;43;35;28;30;22
"PROper VERinf PRE";1294;18;47;57;43;27;35;43;41;27;45;47;37;16;43;16;23;66;51;52;55;53;40;44;32;52;46;51;39;45;31;20;12;40
"NOMcom PRE DETdef";1290;28;39;49;53;28;42;34;31;35;59;71;27;4;53;28;41;35;52;21;42;43;62;41;42;49;41;44;51;30;45;22;30;18
"PROper VERcjg ADJqua";1273;10;32;54;61;26;46;40;42;43;37;66;53;28;50;24;46;69;40;35;34;50;30;35;32;36;30;35;44;41;28;28;18;30
"ADVneg PROper VERcjg";1255;9;32;39;30;11;36;16;39;38;44;47;59;30;31;21;51;57;52;48;71;57;45;71;30;48;56;45;44;22;16;17;23;20
"DETdef NOMcom CONcoo";1240;27;41;71;51;27;66;35;24;26;43;69;26;19;39;23;34;28;45;22;37;21;49;48;57;49;40;58;36;39;44;20;16;10
"VERcjg PRE DETpos";1227;12;57;51;41;33;39;48;38;40;22;38;32;7;28;17;15;46;52;20;38;45;63;52;28;46;64;41;41;54;43;24;25;27
"VERcjg ADVgen PRE";1214;10;18;40;48;9;31;17;39;46;29;41;50;20;65;30;40;40;51;36;37;52;42;52;34;58;53;41;41;41;28;27;16;32
"DETndf ADJqua NOMcom";1206;20;26;43;34;25;39;41;50;43;52;41;42;10;25;35;31;46;42;35;36;34;51;44;25;56;53;34;49;42;26;32;18;26
"CONsub PROper PROper";1189;5;25;53;46;22;46;19;58;41;41;41;50;36;43;27;33;59;51;40;52;46;32;36;28;42;35;32;27;39;32;19;9;24
"DETdef NOMcom PROrel";1161;24;43;60;37;33;42;66;31;16;47;45;54;9;33;19;21;45;43;37;44;44;52;26;39;31;56;37;24;27;30;23;9;14
"NOMcom CONcoo PROper";1144;14;35;76;40;26;37;26;49;31;23;48;43;18;26;19;49;38;28;23;29;30;34;58;42;43;41;55;43;35;25;16;22;22
"VERcjg VERppe PRE";1137;8;39;58;55;17;48;36;27;51;33;31;42;16;25;18;29;51;39;23;39;36;40;25;38;50;50;37;45;41;32;21;14;23
"NOMcom PRE VERinf";1128;21;28;45;31;17;44;36;46;32;39;44;34;12;44;25;33;32;45;34;36;28;36;34;50;45;52;40;30;32;26;21;34;22
"ADVgen PRE NOMcom";1125;7;32;36;23;10;27;16;52;39;31;41;33;20;65;22;43;29;34;38;32;45;45;36;36;44;53;43;47;38;25;29;29;25
"PROind PROper VERcjg";1124;18;13;22;32;17;22;19;36;46;26;74;31;10;45;34;43;65;42;37;34;55;36;31;33;41;43;31;44;45;29;26;16;28
"ADJqua NOMcom PROper";1117;15;25;32;27;18;27;21;59;45;42;30;38;13;38;11;31;31;46;37;35;38;49;39;35;45;47;47;58;32;31;33;16;26
"VERcjg PROper PROper";1087;7;23;46;40;20;34;17;36;29;24;35;54;17;46;23;46;52;37;30;45;38;48;40;20;37;38;28;27;33;41;24;17;35
"PROper VERcjg DETpos";1079;7;55;54;42;34;44;34;28;28;25;13;38;11;32;27;44;39;39;31;34;29;30;41;18;39;38;35;33;40;49;20;14;34
"PROper VERcjg CONcoo";1073;14;35;53;28;15;54;27;34;33;34;43;46;21;40;21;39;29;24;25;32;35;32;38;21;30;51;40;45;42;35;24;5;28
"VERcjg CONsub PROper";1063;8;22;43;31;25;31;31;51;38;22;37;37;22;52;21;23;44;46;37;47;39;31;40;17;37;33;38;38;35;28;18;14;27
"DETndf NOMcom PRE";1062;23;23;33;19;23;25;28;37;24;27;23;25;6;36;27;40;29;43;42;27;34;52;50;45;64;59;40;29;35;32;22;20;20
"NOMcom VERcjg ADVgen";1048;7;25;43;30;29;23;17;30;41;29;38;31;17;36;24;40;29;53;34;29;35;32;48;19;38;38;26;42;48;35;26;24;32
"ADJqua PROper VERcjg";1037;12;30;59;56;26;58;26;20;22;22;24;21;13;30;22;33;48;33;25;33;42;38;25;44;46;39;21;45;35;31;25;13;20
"NOMcom PROper ADVneg";1035;4;30;31;24;14;21;21;40;19;34;31;37;15;26;17;25;55;58;23;50;45;46;46;35;56;51;42;37;25;23;18;22;14
"NOMcom VERcjg PRE";1027;11;36;36;46;28;36;32;27;37;38;46;24;11;26;13;26;45;32;22;41;38;32;34;29;34;36;29;35;40;41;26;16;24
"VERcjg ADVgen ADVgen";1000;7;13;37;29;15;27;8;48;35;35;40;32;26;40;26;33;26;33;27;30;36;44;43;33;34;35;38;34;37;30;21;22;26
"PRE.DETdef NOMcom PRE";979;18;31;39;33;19;28;39;32;26;27;47;29;10;29;13;26;47;64;20;34;37;32;32;36;32;27;22;29;28;31;26;22;14
"DETpos ADJqua NOMcom";959;9;30;28;26;22;25;22;40;51;22;35;21;11;27;14;22;17;33;16;22;30;26;29;27;37;36;19;74;51;46;34;26;31
"NOMcom PROdem VERcjg";958;7;12;33;23;21;30;20;36;15;20;42;29;30;32;29;30;49;33;32;28;36;32;39;21;36;42;28;39;47;33;17;21;16
"PROper VERcjg NOMcom";956;8;15;42;37;15;38;17;52;39;22;66;52;16;34;22;24;21;26;25;30;27;32;32;28;36;42;26;30;27;15;18;18;24
"NOMcom CONsub PROper";949;10;27;40;37;23;25;22;52;23;26;48;29;20;27;14;25;47;50;18;27;34;27;28;32;43;43;33;19;35;31;10;7;17
"VERcjg ADVgen ADJqua";926;11;23;47;37;26;28;18;36;26;16;26;28;8;26;15;31;39;39;21;35;32;34;31;15;36;32;22;50;45;28;21;20;24
"VERcjg ADVgen VERppe";926;8;14;29;31;14;26;15;36;48;24;38;29;17;35;23;27;27;43;19;33;40;32;35;20;26;30;40;45;31;27;15;25;24
"DETdef ADJqua NOMcom";919;25;26;35;31;23;11;27;41;38;28;51;24;19;23;16;24;13;27;22;35;20;34;17;24;32;37;26;63;35;27;20;18;27
"ADJqua NOMcom PRE";902;16;24;26;23;17;13;32;36;48;28;50;28;13;28;16;22;10;31;11;24;22;34;29;30;47;36;22;48;40;37;25;15;21
"NOMcom ADVgen ADJqua";899;15;43;30;36;18;26;28;24;29;16;20;16;7;23;11;13;41;44;25;35;53;40;34;29;34;32;27;30;23;26;28;18;25
"NOMcom ADVneg VERcjg";885;8;27;28;30;12;25;20;26;16;28;40;32;9;33;12;9;38;36;35;40;45;32;33;32;42;37;38;20;26;28;13;13;22
"NOMcom PRE DETndf";880;11;33;45;24;22;28;40;18;22;28;27;25;8;33;13;18;25;36;24;29;38;37;31;29;41;20;37;25;28;31;22;18;14
"PRE NOMcom CONcoo";876;12;22;34;29;15;33;20;25;36;19;44;39;8;33;14;20;20;34;24;21;30;20;29;29;43;33;39;34;24;18;24;26;25
"ADVgen DETdef NOMcom";862;13;8;36;36;18;25;15;24;22;30;34;33;12;31;19;26;25;39;31;35;37;38;32;27;21;35;28;29;38;23;16;13;13
"PROper VERcjg DETndf";849;13;14;31;28;27;25;17;35;18;20;26;17;11;38;20;28;25;29;24;15;37;32;31;38;41;37;26;37;29;28;12;19;21
"NOMcom CONcoo PRE";848;12;33;40;28;14;27;30;25;34;26;34;33;16;22;17;24;15;27;17;27;29;22;25;36;22;43;34;32;25;29;18;18;14
"VERinf DETndf NOMcom";847;10;26;40;15;18;22;23;27;26;23;32;36;6;20;11;23;37;42;39;27;47;31;22;39;32;48;32;20;17;18;14;8;16
"VERinf PROper VERcjg";840;6;18;42;31;29;31;16;34;21;24;29;30;14;22;17;32;41;36;29;20;45;24;33;25;23;25;21;26;20;21;20;14;21
"ADVneg VERcjg ADVgen";836;15;14;27;33;9;35;19;17;10;21;22;26;7;36;17;15;46;45;45;44;46;23;27;23;33;32;32;31;24;23;17;13;9
"NOMcom VERcjg VERppe";836;10;22;40;30;23;23;27;9;48;19;33;22;8;16;16;25;35;31;26;32;28;30;14;15;32;29;28;37;45;35;18;14;16
"VERcjg PRE DETdef";826;14;20;34;33;15;35;18;21;12;33;31;29;12;31;16;33;27;34;13;21;32;35;26;40;40;35;21;39;19;18;14;13;12
"DETpos NOMcom ADVgen";809;6;17;24;28;14;17;15;38;33;26;24;30;8;24;20;26;27;27;20;17;22;21;50;23;36;31;34;27;28;40;16;20;20
"PROper VERcjg VERcjg";808;3;15;30;33;21;25;17;37;26;24;33;34;16;27;21;28;47;26;20;38;28;29;21;21;23;25;20;21;34;23;13;14;15
"ADJqua NOMcom VERcjg";798;13;28;28;22;20;14;25;19;42;22;37;24;10;19;19;12;18;29;24;28;26;27;25;23;25;33;17;41;28;28;33;19;20
"VERcjg PRE VERinf";783;8;17;23;27;15;28;32;37;22;38;32;20;12;19;11;30;38;37;28;24;36;31;31;25;26;27;20;21;18;11;21;7;11
"CONcoo DETdef NOMcom";770;19;30;38;21;21;42;23;12;17;35;36;10;8;20;11;22;25;26;24;26;14;31;26;27;27;29;27;29;26;30;9;12;17
"PROdem PROrel PROper";769;3;15;17;15;14;12;16;32;31;31;36;44;23;41;19;21;37;29;40;37;40;24;17;24;16;31;15;19;15;18;17;7;13
"ADVgen ADJqua NOMcom";763;11;24;18;17;10;10;8;36;62;26;28;27;6;19;9;16;29;33;19;48;28;34;15;25;28;34;26;30;21;25;12;18;11
"ADVgen DETpos NOMcom";759;4;14;22;30;20;16;18;38;31;16;12;13;15;31;15;39;25;30;28;21;26;29;31;19;33;27;26;14;25;26;21;23;21
"DETndf NOMcom ADVgen";753;6;38;31;36;20;21;15;19;19;15;15;23;9;25;5;18;37;40;29;39;40;24;21;19;21;26;18;23;14;25;20;18;24
"NOMcom DETndf NOMcom";753;11;22;19;22;18;18;16;22;20;19;27;11;8;27;19;19;21;34;19;19;22;24;30;26;42;47;28;34;19;29;20;24;17
"ADVgen CONsub PROper";743;2;10;33;28;9;19;7;29;21;26;21;43;15;34;17;24;37;27;23;33;35;28;26;25;23;37;24;20;20;10;9;10;18
"PROper VERcjg ADVneg";743;2;14;24;20;6;10;12;20;37;35;22;34;17;27;18;24;31;43;26;40;28;30;41;16;32;25;23;22;15;14;8;11;16
"DETpos NOMcom ADJqua";740;15;37;30;42;20;32;56;13;22;16;26;10;6;21;12;11;24;18;18;26;12;17;22;20;28;30;19;24;25;41;22;11;14
"NOMcom VERcjg ADJqua";738;12;22;35;35;25;40;12;20;28;12;27;14;6;33;15;18;22;30;19;18;34;17;27;18;36;24;12;19;45;21;16;14;12
"PROper VERinf PROper";730;4;21;37;27;25;20;10;29;18;24;18;22;14;24;19;28;45;24;30;24;36;25;27;27;27;17;14;15;22;13;12;8;24
"PRE PROper PROper";728;2;27;44;18;21;25;21;29;30;22;15;33;13;41;13;36;33;26;10;24;26;27;15;13;31;11;20;21;26;11;12;11;21
"VERcjg ADVgen PROper";720;1;9;26;20;20;10;10;28;22;18;15;25;20;27;24;29;30;20;16;31;31;29;20;29;30;27;19;32;24;31;20;7;20
"VERcjg PROper ADVgen";719;5;13;17;19;11;21;10;27;15;13;34;23;8;32;14;18;38;35;17;23;37;19;32;16;34;26;20;24;26;34;17;14;27
"CONsub DETdef NOMcom";705;6;18;20;27;18;19;21;14;10;19;49;27;11;21;7;27;38;21;12;28;25;37;22;28;30;25;26;20;20;18;13;19;9
"DETdef NOMcom ADJqua";705;31;20;42;31;12;28;36;19;18;20;36;9;12;30;10;22;20;9;17;23;13;22;17;19;22;24;20;28;30;20;16;10;19
"NOMcom PROrel VERcjg";695;17;27;30;22;15;20;32;19;16;17;33;25;6;18;16;9;24;30;11;21;19;16;23;25;24;37;24;28;27;23;10;21;10
"VERcjg VERppe PROper";678;4;18;20;27;13;19;16;22;28;19;12;25;17;29;13;25;42;40;19;27;30;16;21;9;11;15;24;20;32;15;16;11;23
"CONcoo DETpos NOMcom";677;3;34;32;26;10;35;19;16;28;10;15;16;11;13;9;15;25;26;23;17;12;19;24;12;27;22;20;24;38;36;12;30;18
