"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"PRE DETndf PRE";7;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"PRE DETpos ADJcar";7;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
"PRE DETpos DETcar";7;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0
"PRE PRE PROdem";7;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"PRE PROdem CONcoo";7;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
"PRE PROdem VERcjg";7;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PRE PROind DETdem";7;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"PRE PROrel INJ";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;2;0;0;0
"PRE VERinf DETcar";7;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
"PRE VERppa CONsub";7;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"PROadv ADVgen VERinf";7;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"PROadv VERcjg DETint";7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1
"PROadv VERinf NOMpro";7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"PROadv VERppa PROper";7;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"PROcar ADVgen PROper";7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"PROcar PRE.DETdef NOMcom";7;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"PROcar PRE DETdef";7;0;1;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"PROcar PRE PROper";7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"PROcar PROdem VERcjg";7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"PROcar VERcjg PROper";7;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"PROdem ADVneg ADVgen";7;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
"PROdem PROper PROrel";7;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"PROdem PROrel DETind";7;0;1;0;0;0;0;0;2;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PROdem VERcjg DETrel";7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0
"PROdem VERcjg INJ";7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
"PROdem VERcjg PROadv";7;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"PROind ADJqua NOMcom";7;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"PROind ADVgen DETdef";7;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"PROind ADVgen DETndf";7;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1
"PROind CONcoo PROdem";7;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0
"PROind DETdem ADJqua";7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0
"PROind DETint NOMcom";7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;2;0;0;0
"PROind NOMcom CONcoo";7;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"PROind PROimp VERcjg";7;0;0;0;2;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"PROind PROper ADJind";7;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
"PROind VERinf VERinf";7;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"PROind VERppe DETdef";7;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
"PROind VERppe DETpos";7;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0
"PROint ADVgen CONsub";7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0
"PROint DETdem NOMcom";7;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"PROint PRE DETpos";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;2
"PROint VERcjg NOMpro";7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"PROper ADJcar PROper";7;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"PROper ADVneg DETndf";7;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0
"PROper DETdef PROpos";7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1
"PROper DETind DETpos";7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"PROper PROadv VERppa";7;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0
"PROper PROper ADVgen";7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1
"PROper VERcjg PROcar";7;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"PROper VERinf PROadv";7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0
"PROper VERppa DETind";7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"PROper VERppa VERcjg";7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"PROper VERppe VERppe";7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"PROrel ADVgen VERppe";7;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"PROrel PRE.DETdef PROcar";7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
"PROrel PRE DETrel";7;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1
"PROrel PRE NOMpro";7;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
"PROrel PROadv VERcjg";7;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"PROrel PROper VERppe";7;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"PROrel VERcjg NOMpro";7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;0
"PROrel VERinf PRE";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;1;0;1;0;0;0;0
"PROrel VERppe PRE";7;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
"VERcjg ADJqua PROimp";7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0
"VERcjg ADVneg ADVint";7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
"VERcjg ADVneg DETcar";7;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0
"VERcjg CONcoo PRE.DETdef";7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"VERcjg CONcoo VERppe";7;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
"VERcjg CONsub DETcar";7;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
"VERcjg DETdef NOMpro";7;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"VERcjg DETndf PRE.DETdef";7;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"VERcjg INJ ADVint";7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"VERcjg NOMpro ADVneg";7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;2;0;0
"VERcjg NOMpro PROdem";7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1
"VERcjg PROint DETpos";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;2
"VERcjg VERinf PROimp";7;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
"VERcjg VERppa DETdef";7;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"VERcjg VERppe ADJind";7;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"VERcjg VERppe PROadv";7;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"VERinf ADJqua PRE.DETdef";7;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
"VERinf ADJqua PROdem";7;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"VERinf ADJqua PROind";7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"VERinf ADVgen DETind";7;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
"VERinf ADVgen PROint";7;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
"VERinf ADVneg DETdef";7;0;0;0;0;1;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"VERinf ADVneg NOMcom";7;0;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"VERinf CONcoo DETdem";7;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0
"VERinf CONcoo PRE.DETdef";7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"VERinf CONcoo PROind";7;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"VERinf CONsub VERinf";7;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
"VERinf DETdef NOMpro";7;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"VERinf INJ DETdem";7;1;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"VERinf NOMcom VERinf";7;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0
"VERinf NOMpro DETdef";7;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"VERinf NOMpro DETpos";7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;1;0;0
"VERinf PROimp PROper";7;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"VERinf PROind DETdef";7;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
"VERinf PROrel DETdef";7;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
"VERinf VERcjg DETdem";7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"VERinf VERinf DETind";7;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"VERinf VERinf DETrel";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;2;0;0
"VERinf VERinf VERppe";7;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"VERppa ADVgen DETpos";7;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0
"VERppa NOMcom NOMcom";7;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
"VERppa PROper PROadv";7;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"VERppa VERppe DETpos";7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1
"VERppa VERppe PROper";7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;0
"VERppe ADVgen PROrel";7;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0
"VERppe CONcoo PROind";7;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
"VERppe CONsub DETind";7;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0
"VERppe DETdef NOMpro";7;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"VERppe NOMcom ADVneg";7;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0
"VERppe NOMcom INJ";7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
"VERppe NOMcom PROrel";7;0;0;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"VERppe NOMpro ADVgen";7;0;0;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"VERppe PRE.DETdef ADVgen";7;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"VERppe PRE.DETdef NOMpro";7;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VERppe PRE.DETdef PROpos";7;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"VERppe PRE PRE.DETdef";7;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"VERppe PROadv VERinf";7;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VERppe PROdem PRE";7;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"VERppe PROdem PROper";7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0
"VERppe PROper VERppe";7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"VERppe PROrel ADVgen";7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0
"VERppe VERinf ADVneg";7;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"VERppe VERinf DETrel";7;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"VERppe VERppe CONcoo";7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;1;0;0
"VERppe VERppe DETpos";7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"ADJind ADVgen ADVgen";6;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"ADJind CONsub PROind";6;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ADJind NOMcom NOMpro";6;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ADJind NOMcom PRE.DETdef";6;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
"ADJind NOMcom PROind";6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ADJind PROper PROadv";6;0;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ADJord NOMcom INJ";6;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"ADJqua ADVgen INJ";6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0
"ADJqua CONcoo ADVint";6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
"ADJqua DETind DETpos";6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
"ADJqua INJ DETint";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"ADJqua NOMpro PROdem";6;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
"ADJqua PRE.DETdef PROpos";6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0
"ADJqua PROper VERppa";6;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"ADJqua PROrel DETind";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1
"ADJqua VERcjg NOMpro";6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0
"ADJqua VERcjg PROadv";6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"ADJqua VERinf VERinf";6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0
"ADJqua VERppa DETpos";6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;0;0
"ADJqua VERppe VERcjg";6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
"ADVgen ADJqua DETcar";6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0
"ADVgen ADJqua VERppa";6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0
"ADVgen ADVgen DETint";6;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"ADVgen ADVneg CONcoo";6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"ADVgen CONcoo VERinf";6;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ADVgen CONsub VERinf";6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
"ADVgen DETdef NOMpro";6;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"ADVgen DETind DETdem";6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0
"ADVgen DETpos ADJord";6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"ADVgen DETrel ADJqua";6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
"ADVgen NOMpro NOMcom";6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"ADVgen PRE.DETdef PROpos";6;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"ADVgen PRE PRE.DETdef";6;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ADVgen PROind ADVgen";6;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
