"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"aujourd'hui";132;2;6;6;5;4;5;3;4;0;4;8;7;3;4;5;1;7;2;3;4;0;4;5;1;6;3;4;4;6;7;2;4;3
"autre";132;1;3;2;3;3;2;2;4;5;2;7;8;5;6;2;10;4;9;5;13;5;1;3;5;3;1;11;1;2;2;2;0;0
"plus";130;3;2;5;3;0;5;0;2;9;1;7;2;0;3;2;4;6;9;9;10;9;3;4;1;1;1;5;3;5;6;2;1;7
"tendresse";130;0;11;2;0;4;7;5;3;4;6;0;3;3;8;1;5;3;4;2;3;7;7;5;0;8;1;7;1;2;9;2;1;6
"frère";128;0;3;2;2;2;0;1;15;7;0;0;9;0;0;8;25;0;3;0;0;0;0;3;0;3;0;9;13;3;17;0;2;1
"secret";126;0;5;4;7;8;4;1;5;5;4;1;4;0;7;4;11;6;9;5;8;6;5;4;2;3;3;1;2;1;0;1;0;0
"rendre";124;2;2;5;3;0;2;3;7;3;7;2;8;5;0;5;0;9;5;1;3;5;6;3;1;4;6;4;6;7;2;1;0;7
"personne";123;2;2;3;2;1;4;3;5;6;0;3;0;3;5;3;2;5;3;4;4;2;8;5;4;3;2;5;5;12;6;3;2;6
"donner";122;2;1;1;3;2;2;1;9;8;3;5;5;4;2;3;7;4;4;6;5;5;1;1;3;4;6;4;4;4;4;1;1;7
"moment";122;1;2;7;3;2;2;3;8;12;14;8;6;0;2;1;4;4;2;4;0;6;2;2;5;3;6;3;1;4;1;2;0;2
"beau";119;2;2;2;1;2;4;1;4;4;6;4;7;0;5;0;0;3;10;4;3;2;5;3;7;9;5;1;2;9;1;6;2;3
"sage";119;2;2;7;1;1;3;0;4;5;3;3;4;3;2;3;4;2;3;2;2;4;3;5;1;2;4;4;11;9;8;4;0;8
"mariage";118;0;1;4;2;0;0;0;2;7;3;1;3;5;6;4;6;2;6;2;3;4;1;5;4;2;15;3;4;7;6;2;5;3
"vouloir";118;1;1;4;2;1;3;1;11;3;4;9;5;4;1;7;6;5;2;4;2;2;4;2;5;3;2;0;5;5;4;2;4;4
"ami";116;1;3;14;1;2;7;1;1;4;1;2;10;1;3;3;5;10;3;2;3;3;2;0;3;1;1;2;5;4;3;10;2;3
"oui";115;1;2;5;4;2;2;0;3;6;1;2;8;2;4;5;3;2;4;2;3;2;7;3;4;0;3;3;7;6;7;3;5;4
"peine";115;1;3;3;2;1;7;7;9;3;10;6;7;1;1;2;2;4;3;2;1;2;3;6;7;4;3;5;4;4;1;0;0;1
"point";115;2;4;5;3;1;6;0;6;3;0;8;6;3;4;0;5;2;8;5;1;4;1;8;0;1;11;2;2;2;3;2;5;2
"époux";114;0;4;1;0;1;1;3;1;8;2;2;7;0;3;5;4;4;1;5;1;15;7;2;0;3;3;5;1;4;7;5;3;6
"doux";113;0;8;6;5;3;4;8;1;3;6;3;2;0;1;0;1;8;8;4;6;8;3;5;1;6;0;1;3;3;0;2;0;4
"vôtre";113;1;3;2;3;2;2;2;3;3;1;5;7;2;4;2;8;3;9;6;14;3;2;3;5;2;0;10;2;0;2;2;0;0
"femme";112;2;1;0;1;0;3;0;2;5;1;0;0;4;4;8;1;0;4;0;0;8;8;3;5;5;6;3;6;7;7;2;11;5
"grâce";110;0;1;5;1;1;4;1;6;6;4;13;6;0;3;2;1;1;6;2;4;7;3;6;1;2;6;2;1;3;6;3;0;3
"foi";109;1;2;1;5;0;1;2;6;6;6;0;8;2;6;5;3;1;3;3;7;3;5;3;2;1;6;2;1;4;5;3;3;3
"main";108;1;3;4;2;3;6;2;3;3;0;1;6;0;1;0;3;5;3;2;2;3;5;5;9;8;4;8;4;5;3;1;1;2
"cela";106;0;0;3;3;0;2;0;9;8;0;11;6;2;8;3;2;2;2;0;0;2;2;5;3;2;6;1;5;6;4;3;3;3
"honneur";105;1;2;3;0;0;2;1;8;1;1;10;6;1;0;0;4;2;7;3;4;4;2;2;0;4;4;0;3;14;4;5;5;2
"mystère";105;0;0;3;1;4;1;2;5;4;3;0;2;5;9;2;8;4;8;3;4;3;2;2;1;4;2;3;6;3;3;3;2;3
"mieux";102;0;0;1;3;0;3;0;1;5;2;4;2;3;6;3;8;7;9;6;0;1;7;5;2;5;3;2;0;3;4;1;2;4
"temps";101;3;0;3;2;2;1;0;4;3;4;1;1;0;5;1;5;6;6;3;6;3;2;4;5;3;3;7;3;7;2;0;1;5
"encore";100;0;3;0;4;0;2;1;2;3;1;2;6;0;5;3;4;3;7;6;5;5;4;3;0;2;3;2;3;4;8;6;1;2
"prier";99;2;1;6;0;2;1;1;4;2;3;3;2;0;1;1;3;3;6;2;5;3;4;3;7;4;8;3;5;1;4;4;4;1
"amant";98;0;1;3;3;2;3;0;11;6;16;1;6;3;6;1;5;2;0;1;3;1;1;4;3;4;1;2;0;1;3;2;1;2
"aussi";98;0;0;1;3;0;1;1;4;2;5;5;8;0;9;3;4;1;6;2;1;3;1;4;3;2;2;3;3;10;6;1;4;0
"cour";98;0;1;3;2;0;2;5;2;1;7;1;2;1;1;0;0;12;6;3;0;4;21;3;0;8;0;1;3;4;0;1;3;1
"famille";97;0;5;2;5;0;0;0;7;4;2;0;5;1;5;0;4;0;6;1;4;0;3;7;0;0;5;3;3;10;3;0;8;4
